GS.WDT.2008183000000.BHE[115335, 117675]
GS.WXT.2008190000000.BHE[7494250, 7497190]
GS.WXT.2008190000000.BHE[7498895, 7505945]
GS.WXT.2008190000000.BHE[7700830, 7703320]
GS.WXT.2008190000000.BHE[8002225, 8004295]
GS.WXT.2008190000000.BHE[8131155, 8132985]
GS.WXT.2008190000000.BHE[8187755, 8190935]
GS.WXT.2008190000000.BHE[8296350, 8298690]
GS.WXT.2008190000000.BHE[8438545, 8440375]
GS.WXT.2008190000000.BHE[8495560, 8497060]
GS.WXT.2008190000000.BHE[8552615, 8554385]
SN.MIAX.2008197000000.BHZ[4870685, 4875065]
SN.MIAX.2008197000000.BHZ[6895010, 6899630]
GS.WXT.2008215000000.BHZ[109995, 111525]
GS.WXT.2008215000000.BHZ[241115, 243515]
GS.WXT.2008215000000.BHZ[401185, 402895]
GS.WXT.2008215000000.BHZ[538730, 541490]
GS.WXT.2008215000000.BHZ[546795, 548655]
GS.WXT.2008215000000.BHZ[549010, 553000]
GS.WXT.2008215000000.BHZ[679015, 682825]
GS.WXT.2008215000000.BHZ[733030, 735280]
GS.WXT.2008215000000.BHZ[869510, 872840]
GS.WXT.2008215000000.BHZ[997860, 1000560]
GS.WXT.2008215000000.BHZ[1093965, 1096515]
GS.WXT.2008215000000.BHZ[1216760, 1220090]
GS.WXT.2008215000000.BHZ[1415405, 1418615]
GS.WXT.2008215000000.BHZ[1420845, 1424055]
GS.WXT.2008215000000.BHZ[1453150, 1455910]
GS.WXT.2008215000000.BHZ[1591520, 1595450]
GS.WXT.2008215000000.BHZ[1730880, 1733100]
GS.WXT.2008215000000.BHZ[1766125, 1767505]
GS.WXT.2008215000000.BHZ[1844630, 1848290]
GS.WXT.2008215000000.BHZ[2127080, 2128550]
GS.WXT.2008215000000.BHZ[2146785, 2149515]
GS.WXT.2008215000000.BHZ[2149185, 2151375]
GS.WXT.2008215000000.BHZ[2155195, 2157865]
GS.WXT.2008215000000.BHZ[2236800, 2239200]
GS.WXT.2008215000000.BHZ[2355515, 2358185]
GS.WXT.2008215000000.BHZ[2426715, 2430165]
GS.WXT.2008215000000.BHZ[2532900, 2537130]
GS.WXT.2008215000000.BHZ[2584345, 2587165]
GS.WXT.2008215000000.BHZ[2652975, 2655435]
GS.WXT.2008215000000.BHZ[3029785, 3033085]
GS.WXT.2008215000000.BHZ[3051600, 3054600]
GS.WXT.2008215000000.BHZ[3105425, 3107375]
GS.WXT.2008215000000.BHZ[3130070, 3132080]
GS.WXT.2008215000000.BHZ[3193870, 3203200]
GS.WXT.2008215000000.BHZ[3214385, 3217505]
GS.WXT.2008215000000.BHZ[3223565, 3226775]
GS.WXT.2008215000000.BHZ[3523180, 3525700]
GS.WXT.2008215000000.BHZ[3598420, 3599710]
GS.WXT.2008215000000.BHZ[3865355, 3868265]
GS.WXT.2008215000000.BHZ[3993715, 3996025]
GS.WXT.2008215000000.BHZ[4117320, 4120590]
GS.WXT.2008215000000.BHZ[4154270, 4155530]
GS.WXT.2008215000000.BHZ[4184575, 4186495]
GS.WXT.2008215000000.BHZ[4389400, 4391290]
GS.WXT.2008215000000.BHZ[4393775, 4394975]
GS.WXT.2008215000000.BHZ[4583690, 4586750]
GS.WXT.2008215000000.BHZ[4802265, 4803675]
GS.WXT.2008215000000.BHZ[4852470, 4853910]
GS.WXT.2008215000000.BHZ[5084620, 5087020]
GS.WXT.2008215000000.BHZ[5368295, 5369885]
GS.WXT.2008215000000.BHZ[5388220, 5389690]
GS.WXT.2008215000000.BHZ[5488220, 5490080]
GS.WDT.2008191000000.BHE[7540515, 7542945]
GS.WDT.2008205000000.BHE[0, 5723700]
GS.WDT.2008205000000.BHE[5184045, 8639985]
SN.LUYA.2008199000000.BHN[495385, 497755]
SN.LUYA.2008199000000.BHN[2000660, 2004770]
SN.LUYA.2008199000000.BHN[6405465, 6407685]
GS.WDT.2008183000000.BHN[115255, 117685]
GS.WDT.2008183000000.BHN[2472570, 2474700]
GS.WDT.2008183000000.BHN[2610155, 2612015]
GS.WDT.2008183000000.BHN[2975720, 2978330]
GS.WDT.2008183000000.BHN[6961795, 6966505]
SN.MIAX.2008190000000.BHE[891630, 894960]
SN.MIAX.2008190000000.BHE[1595915, 1597955]
SN.MIAX.2008190000000.BHE[1764825, 1768275]
SN.MIAX.2008190000000.BHE[2210050, 2215000]
SN.MIAX.2008190000000.BHE[2439085, 2447545]
SN.MIAX.2008190000000.BHE[2612515, 2613685]
SN.MIAX.2008190000000.BHE[2614510, 2616220]
SN.MIAX.2008190000000.BHE[2799095, 2802125]
SN.MIAX.2008190000000.BHE[2801890, 2803600]
SN.MIAX.2008190000000.BHE[3928630, 3932620]
SN.MIAX.2008190000000.BHE[6225460, 6232510]
SN.MIAX.2008190000000.BHE[6624435, 6627345]
SN.MIAX.2008190000000.BHE[7044585, 7049355]
SN.MIAX.2008190000000.BHE[7709765, 7713095]
GS.WXT.2008198000000.BHE[5988175, 5990095]
GS.WXT.2008198000000.BHE[6985575, 6989355]
GS.WXT.2008198000000.BHE[7060685, 7062125]
GS.WXT.2008198000000.BHE[7702305, 7705245]
GS.WXT.2008198000000.BHE[7945760, 7948220]
SN.LUYA.2008207000000.BHZ[613110, 618390]
SN.LUYA.2008207000000.BHZ[1834010, 1836350]
SN.LUYA.2008207000000.BHZ[2368835, 2373005]
SN.LUYA.2008215000000.BHN[1729490, 1734290]
SN.LUYA.2008191000000.BHZ[273285, 277425]
SN.LUYA.2008191000000.BHZ[950420, 955100]
SN.LUYA.2008191000000.BHZ[7658865, 7661295]
SN.MIAX.2008198000000.BHE[1451795, 1455185]
SN.MIAX.2008198000000.BHE[1976710, 1981450]
SN.MIAX.2008198000000.BHE[2328215, 2330675]
SN.MIAX.2008198000000.BHE[3389860, 3397990]
SN.MIAX.2008198000000.BHE[4038095, 4039595]
SN.MIAX.2008198000000.BHE[4424650, 4427770]
SN.MIAX.2008198000000.BHE[7685165, 7690625]
SN.MIAX.2008198000000.BHE[8584130, 8589200]
SN.MIAX.2008208000000.BHN[1741160, 1743980]
SN.MIAX.2008208000000.BHN[1745420, 1748090]
SN.MIAX.2008208000000.BHN[1802240, 1804220]
SN.MIAX.2008208000000.BHN[2802675, 2805885]
SN.MIAX.2008208000000.BHN[3591955, 3594595]
SN.MIAX.2008208000000.BHN[4115675, 4119995]
SN.MIAX.2008208000000.BHN[5866180, 5872750]
SN.LUYA.2008183000000.BHE[1393500, 1397370]
GS.WXT.2008190000000.BHN[135185, 136655]
GS.WXT.2008190000000.BHN[189380, 191990]
GS.WXT.2008190000000.BHN[302760, 304380]
GS.WXT.2008190000000.BHN[326105, 328325]
GS.WXT.2008190000000.BHN[603025, 605665]
GS.WXT.2008190000000.BHN[1278350, 1280030]
GS.WXT.2008190000000.BHN[1425565, 1428085]
GS.WXT.2008190000000.BHN[1653825, 1655205]
GS.WXT.2008190000000.BHN[1797670, 1799590]
GS.WXT.2008190000000.BHN[2291940, 2293170]
GS.WXT.2008190000000.BHN[2341300, 2343340]
GS.WXT.2008190000000.BHN[2346295, 2349565]
GS.WXT.2008190000000.BHN[2585985, 2588265]
GS.WXT.2008190000000.BHN[2802790, 2803990]
GS.WXT.2008190000000.BHN[3233245, 3235975]
GS.WXT.2008190000000.BHN[3269615, 3270935]
GS.WXT.2008190000000.BHN[3287615, 3289895]
GS.WXT.2008190000000.BHN[3418480, 3420790]
GS.WXT.2008190000000.BHN[3667750, 3670630]
GS.WXT.2008190000000.BHN[3778260, 3779970]
GS.WXT.2008190000000.BHN[3791780, 3793580]
GS.WXT.2008190000000.BHN[3874930, 3878650]
GS.WXT.2008190000000.BHN[3920635, 3922525]
GS.WXT.2008190000000.BHN[3962660, 3964670]
GS.WXT.2008190000000.BHN[4029740, 4031450]
GS.WXT.2008190000000.BHN[4108225, 4110055]
GS.WXT.2008190000000.BHN[4245070, 4246540]
GS.WXT.2008190000000.BHN[4420550, 4422080]
GS.WXT.2008190000000.BHN[4435170, 4437000]
GS.WXT.2008190000000.BHN[4749770, 4751360]
GS.WXT.2008190000000.BHN[4873400, 4876490]
GS.WXT.2008190000000.BHN[5837450, 5839520]
GS.WXT.2008190000000.BHN[7114965, 7119015]
GS.WXT.2008190000000.BHN[7393020, 7394370]
GS.WXT.2008190000000.BHN[7458510, 7459980]
GS.WXT.2008190000000.BHN[7494215, 7496675]
GS.WXT.2008190000000.BHN[7500475, 7502575]
GS.WXT.2008190000000.BHN[7502950, 7505050]
GS.WXT.2008190000000.BHN[7606430, 7608230]
GS.WXT.2008190000000.BHN[7645020, 7646700]
GS.WXT.2008190000000.BHN[7701005, 7703075]
GS.WXT.2008190000000.BHN[8128275, 8132625]
GS.WXT.2008190000000.BHN[8133505, 8136175]
GS.WXT.2008190000000.BHN[8184235, 8186035]
GS.WXT.2008190000000.BHN[8188230, 8190270]
GS.WXT.2008190000000.BHN[8296360, 8298160]
GS.WXT.2008190000000.BHN[8438310, 8440380]
GS.WXT.2008190000000.BHN[8552655, 8554095]
GS.WXT.2008207000000.BHN[41235, 42465]
GS.WXT.2008207000000.BHN[130585, 133045]
GS.WXT.2008207000000.BHN[291295, 293845]
GS.WXT.2008207000000.BHN[293525, 295745]
GS.WXT.2008207000000.BHN[301475, 303125]
GS.WXT.2008207000000.BHN[317900, 320180]
GS.WXT.2008207000000.BHN[319925, 321755]
GS.WXT.2008207000000.BHN[368870, 371420]
GS.WXT.2008207000000.BHN[608725, 610645]
GS.WXT.2008207000000.BHN[709755, 712215]
GS.WXT.2008207000000.BHN[851855, 853895]
GS.WXT.2008207000000.BHN[889745, 891485]
GS.WXT.2008207000000.BHN[975890, 977450]
GS.WXT.2008207000000.BHN[1018435, 1020235]
GS.WXT.2008207000000.BHN[1032205, 1033885]
GS.WXT.2008207000000.BHN[1066225, 1069015]
GS.WXT.2008207000000.BHN[1118435, 1120445]
GS.WXT.2008207000000.BHN[1554135, 1556025]
GS.WXT.2008207000000.BHN[1738515, 1740225]
GS.WXT.2008207000000.BHN[1743310, 1744750]
GS.WXT.2008207000000.BHN[1791040, 1792420]
GS.WXT.2008207000000.BHN[1881925, 1883125]
GS.WXT.2008207000000.BHN[1970875, 1972705]
GS.WXT.2008207000000.BHN[2006640, 2007900]
GS.WXT.2008207000000.BHN[2062705, 2064385]
GS.WXT.2008207000000.BHN[2261885, 2264105]
GS.WXT.2008207000000.BHN[2363225, 2366165]
GS.WXT.2008207000000.BHN[2411895, 2415225]
GS.WXT.2008207000000.BHN[2430875, 2432495]
GS.WXT.2008207000000.BHN[2599950, 2601960]
GS.WXT.2008207000000.BHN[2625970, 2629810]
GS.WXT.2008207000000.BHN[2643560, 2645720]
GS.WXT.2008207000000.BHN[2822705, 2823965]
GS.WXT.2008207000000.BHN[2969185, 2970595]
GS.WXT.2008207000000.BHN[2988825, 2991435]
GS.WXT.2008207000000.BHN[3204375, 3206385]
GS.WXT.2008207000000.BHN[3245120, 3247100]
GS.WXT.2008207000000.BHN[3258645, 3261045]
GS.WXT.2008207000000.BHN[3503035, 3505075]
GS.WXT.2008207000000.BHN[3667095, 3668265]
GS.WXT.2008207000000.BHN[3786915, 3790185]
GS.WXT.2008207000000.BHN[3820785, 3822285]
GS.WXT.2008207000000.BHN[3923595, 3925245]
GS.WXT.2008207000000.BHN[4337340, 4338960]
GS.WXT.2008207000000.BHN[4473895, 4475155]
GS.WXT.2008207000000.BHN[4803880, 4805770]
GS.WXT.2008207000000.BHN[4917585, 4919835]
GS.WXT.2008207000000.BHN[6086620, 6088150]
GS.WXT.2008207000000.BHN[6404570, 6406280]
GS.WXT.2008207000000.BHN[6484760, 6487700]
GS.WXT.2008207000000.BHN[6611115, 6614145]
GS.WXT.2008207000000.BHN[6904185, 6906045]
GS.WXT.2008207000000.BHN[6958605, 6960585]
GS.WXT.2008207000000.BHN[6994545, 6995745]
GS.WXT.2008207000000.BHN[7202665, 7205035]
GS.WXT.2008207000000.BHN[7520935, 7522975]
GS.WXT.2008207000000.BHN[7663020, 7665090]
GS.WXT.2008207000000.BHN[7741485, 7743015]
GS.WXT.2008207000000.BHN[8057375, 8062295]
GS.WXT.2008207000000.BHN[8131820, 8134610]
GS.WXT.2008207000000.BHN[8223945, 8227095]
GS.WXT.2008207000000.BHN[8438425, 8440165]
GS.WXT.2008207000000.BHN[8548810, 8551180]
GS.WDT.2008183000000.BHZ[611325, 612675]
GS.WDT.2008183000000.BHZ[1392965, 1394945]
GS.WDT.2008183000000.BHZ[3812760, 3820170]
GS.WDT.2008191000000.BHN[7540930, 7542430]
GS.WDT.2008191000000.BHN[8437130, 8439440]
SN.LUYA.2008208000000.BHE[2342425, 2346205]
GS.WDT.2008199000000.BHE[0, 408850]
GS.WDT.2008199000000.BHE[0, 2717150]
GS.WDT.2008199000000.BHE[2142900, 5706300]
GS.WDT.2008199000000.BHE[5184085, 8639995]
SN.MIAX.2008190000000.BHN[892045, 894955]
SN.MIAX.2008190000000.BHN[1595980, 1597810]
SN.MIAX.2008190000000.BHN[2439190, 2447140]
SN.MIAX.2008190000000.BHN[2799190, 2803420]
SN.MIAX.2008190000000.BHN[6228565, 6232645]
SN.MIAX.2008190000000.BHN[7200735, 7204545]
GS.WXT.2008183000000.BHE[74035, 75355]
GS.WXT.2008183000000.BHE[75135, 76755]
GS.WXT.2008183000000.BHE[227365, 229375]
GS.WXT.2008183000000.BHE[261840, 263640]
GS.WXT.2008183000000.BHE[307185, 309405]
GS.WXT.2008183000000.BHE[323250, 324480]
GS.WXT.2008183000000.BHE[328510, 329740]
GS.WXT.2008183000000.BHE[330065, 334115]
GS.WXT.2008183000000.BHE[333880, 335530]
GS.WXT.2008183000000.BHE[335385, 336555]
GS.WXT.2008183000000.BHE[348090, 350070]
GS.WXT.2008183000000.BHE[381995, 383195]
GS.WXT.2008183000000.BHE[387195, 388695]
GS.WXT.2008183000000.BHE[407595, 409035]
GS.WXT.2008183000000.BHE[410760, 412590]
GS.WXT.2008183000000.BHE[424715, 427565]
GS.WXT.2008183000000.BHE[505000, 507040]
GS.WXT.2008183000000.BHE[517065, 518445]
GS.WXT.2008183000000.BHE[576860, 578240]
GS.WXT.2008183000000.BHE[720575, 723665]
GS.WXT.2008183000000.BHE[748920, 750180]
GS.WXT.2008183000000.BHE[852480, 853890]
GS.WXT.2008183000000.BHE[854660, 856280]
GS.WXT.2008183000000.BHE[960540, 961920]
GS.WXT.2008183000000.BHE[993260, 994730]
GS.WXT.2008183000000.BHE[1068245, 1071785]
GS.WXT.2008183000000.BHE[1084105, 1085725]
GS.WXT.2008183000000.BHE[1143095, 1145195]
GS.WXT.2008183000000.BHE[1147640, 1149110]
GS.WXT.2008183000000.BHE[1150610, 1153370]
GS.WXT.2008183000000.BHE[1173150, 1174440]
GS.WXT.2008183000000.BHE[1174965, 1176225]
GS.WXT.2008183000000.BHE[1182985, 1184485]
GS.WXT.2008183000000.BHE[1231600, 1233340]
GS.WXT.2008183000000.BHE[1290085, 1292545]
GS.WXT.2008183000000.BHE[1323510, 1325220]
GS.WXT.2008183000000.BHE[1341400, 1342840]
GS.WXT.2008183000000.BHE[1349855, 1352405]
GS.WXT.2008183000000.BHE[1362815, 1366775]
GS.WXT.2008183000000.BHE[1369615, 1372975]
GS.WXT.2008183000000.BHE[1781790, 1783800]
GS.WXT.2008183000000.BHE[1819835, 1822295]
GS.WXT.2008183000000.BHE[1988405, 1989785]
GS.WXT.2008183000000.BHE[2357995, 2359495]
GS.WXT.2008183000000.BHE[2562000, 2563260]
GS.WXT.2008183000000.BHE[2565560, 2567870]
GS.WXT.2008183000000.BHE[2716995, 2719305]
GS.WXT.2008183000000.BHE[2729010, 2730390]
GS.WXT.2008183000000.BHE[2848975, 2850355]
GS.WXT.2008183000000.BHE[2998260, 3001110]
GS.WXT.2008183000000.BHE[3048090, 3049860]
GS.WXT.2008183000000.BHE[3285415, 3287095]
GS.WXT.2008183000000.BHE[3338380, 3342280]
GS.WXT.2008183000000.BHE[3566360, 3568310]
GS.WXT.2008183000000.BHE[3804960, 3806460]
GS.WXT.2008183000000.BHE[3825935, 3830585]
GS.WXT.2008183000000.BHE[3962390, 3965300]
GS.WXT.2008183000000.BHE[3979495, 3981655]
GS.WXT.2008183000000.BHE[3995445, 3998355]
GS.WXT.2008183000000.BHE[4036975, 4038745]
GS.WXT.2008183000000.BHE[4092565, 4095385]
GS.WXT.2008183000000.BHE[4170485, 4172495]
GS.WXT.2008183000000.BHE[4172695, 4175035]
GS.WXT.2008183000000.BHE[4192400, 4194770]
GS.WXT.2008183000000.BHE[4519165, 4521475]
GS.WXT.2008183000000.BHE[4666875, 4668975]
GS.WXT.2008183000000.BHE[4699750, 4701310]
GS.WXT.2008183000000.BHE[5868150, 5870250]
GS.WXT.2008183000000.BHE[6010475, 6012695]
GS.WXT.2008183000000.BHE[6128075, 6133235]
GS.WXT.2008183000000.BHE[6238490, 6239810]
GS.WXT.2008183000000.BHE[6261515, 6263045]
GS.WXT.2008183000000.BHE[6323600, 6325040]
GS.WXT.2008183000000.BHE[6367240, 6369070]
GS.WXT.2008183000000.BHE[6374855, 6377915]
GS.WXT.2008183000000.BHE[6582875, 6586595]
GS.WXT.2008183000000.BHE[6680830, 6683260]
GS.WXT.2008183000000.BHE[6813130, 6814450]
GS.WXT.2008183000000.BHE[7078785, 7081245]
GS.WXT.2008183000000.BHE[7202370, 7205130]
GS.WXT.2008183000000.BHE[7379045, 7380725]
GS.WXT.2008183000000.BHE[7465295, 7467095]
GS.WXT.2008183000000.BHE[7491340, 7493410]
GS.WXT.2008183000000.BHE[7504410, 7506210]
GS.WXT.2008183000000.BHE[7576865, 7580225]
GS.WXT.2008183000000.BHE[7628890, 7631110]
GS.WXT.2008183000000.BHE[7643560, 7645030]
GS.WXT.2008183000000.BHE[7821615, 7823265]
GS.WXT.2008183000000.BHE[7903635, 7905525]
GS.WXT.2008183000000.BHE[7993390, 7995400]
GS.WXT.2008183000000.BHE[8196190, 8197450]
SN.MIAX.2008208000000.BHZ[1746005, 1748015]
SN.MIAX.2008208000000.BHZ[1802795, 1804085]
SN.MIAX.2008208000000.BHZ[5868110, 5870690]
SN.LUYA.2008199000000.BHZ[4751515, 4755655]
SN.LUYA.2008192000000.BHE[7026140, 7030400]
SN.LUYA.2008215000000.BHZ[4897425, 4900215]
GS.WXT.2008190000000.BHZ[325320, 328350]
GS.WXT.2008190000000.BHZ[376670, 378020]
GS.WXT.2008190000000.BHZ[602380, 605950]
GS.WXT.2008190000000.BHZ[933565, 936175]
GS.WXT.2008190000000.BHZ[1128075, 1129995]
GS.WXT.2008190000000.BHZ[1653640, 1655500]
GS.WXT.2008190000000.BHZ[1797520, 1799830]
GS.WXT.2008190000000.BHZ[1998025, 2000185]
GS.WXT.2008190000000.BHZ[2499235, 2500705]
GS.WXT.2008190000000.BHZ[2800645, 2804485]
GS.WXT.2008190000000.BHZ[2804325, 2806605]
GS.WXT.2008190000000.BHZ[2806705, 2808145]
GS.WXT.2008190000000.BHZ[2825785, 2827075]
GS.WXT.2008190000000.BHZ[3286865, 3290375]
GS.WXT.2008190000000.BHZ[3667235, 3670235]
GS.WXT.2008190000000.BHZ[3776830, 3779860]
GS.WXT.2008190000000.BHZ[3785830, 3788530]
GS.WXT.2008190000000.BHZ[3791575, 3793105]
GS.WXT.2008190000000.BHZ[3920185, 3923335]
GS.WXT.2008190000000.BHZ[3962650, 3964720]
GS.WXT.2008190000000.BHZ[4029415, 4031305]
GS.WXT.2008190000000.BHZ[4107465, 4110405]
GS.WXT.2008190000000.BHZ[4420405, 4421905]
GS.WXT.2008190000000.BHZ[4577095, 4579375]
GS.WXT.2008190000000.BHZ[4587500, 4589780]
GS.WXT.2008190000000.BHZ[4749715, 4751605]
GS.WXT.2008190000000.BHZ[4873345, 4876765]
GS.WXT.2008190000000.BHZ[5013805, 5016055]
GS.WXT.2008190000000.BHZ[5837160, 5839710]
GS.WXT.2008190000000.BHZ[6239855, 6241205]
GS.WXT.2008190000000.BHZ[6493140, 6495150]
GS.WXT.2008190000000.BHZ[6563105, 6565385]
GS.WXT.2008190000000.BHZ[7117460, 7118660]
GS.WXT.2008190000000.BHZ[7187680, 7194100]
GS.WXT.2008190000000.BHZ[7493570, 7496900]
GS.WXT.2008190000000.BHZ[8130345, 8137065]
GS.WXT.2008190000000.BHZ[8187315, 8190675]
GS.WXT.2008190000000.BHZ[8295945, 8298735]
GS.WXT.2008190000000.BHZ[8438300, 8440490]
GS.WXT.2008190000000.BHZ[8495500, 8496760]
GS.WXT.2008190000000.BHZ[8552515, 8554465]
GS.WDT.2008205000000.BHN[0, 5723700]
GS.WDT.2008205000000.BHN[5184085, 8639995]
SN.MIAX.2008198000000.BHN[175020, 183270]
SN.MIAX.2008198000000.BHN[3038275, 3040525]
SN.MIAX.2008198000000.BHN[3841175, 3845975]
SN.MIAX.2008198000000.BHN[4841675, 4845815]
SN.MIAX.2008198000000.BHN[5194790, 5198780]
SN.MIAX.2008198000000.BHN[7446040, 7448590]
SN.MIAX.2008198000000.BHN[8585640, 8588610]
GS.WDT.2008184000000.BHE[42045, 43725]
GS.WDT.2008184000000.BHE[53395, 55705]
GS.WDT.2008184000000.BHE[7774225, 7777255]
GS.WXT.2008207000000.BHZ[129070, 133210]
GS.WXT.2008207000000.BHZ[289585, 296635]
GS.WXT.2008207000000.BHZ[317670, 321960]
GS.WXT.2008207000000.BHZ[368055, 371715]
GS.WXT.2008207000000.BHZ[608060, 611180]
GS.WXT.2008207000000.BHZ[709770, 711420]
GS.WXT.2008207000000.BHZ[851225, 854075]
GS.WXT.2008207000000.BHZ[974130, 977730]
GS.WXT.2008207000000.BHZ[1018435, 1020235]
GS.WXT.2008207000000.BHZ[1031620, 1033870]
GS.WXT.2008207000000.BHZ[1553430, 1556640]
GS.WXT.2008207000000.BHZ[1709830, 1711150]
GS.WXT.2008207000000.BHZ[1769960, 1771940]
GS.WXT.2008207000000.BHZ[1970545, 1973095]
GS.WXT.2008207000000.BHZ[2077770, 2079360]
GS.WXT.2008207000000.BHZ[2261885, 2263745]
GS.WXT.2008207000000.BHZ[2362245, 2366235]
GS.WXT.2008207000000.BHZ[2430665, 2432615]
GS.WXT.2008207000000.BHZ[2439880, 2441320]
GS.WXT.2008207000000.BHZ[2968505, 2970485]
GS.WXT.2008207000000.BHZ[2988030, 2991690]
GS.WXT.2008207000000.BHZ[3187080, 3188400]
GS.WXT.2008207000000.BHZ[3204135, 3207045]
GS.WXT.2008207000000.BHZ[3244975, 3246955]
GS.WXT.2008207000000.BHZ[3257740, 3261670]
GS.WXT.2008207000000.BHZ[3666840, 3668250]
GS.WXT.2008207000000.BHZ[3786445, 3790015]
GS.WXT.2008207000000.BHZ[3820360, 3822280]
GS.WXT.2008207000000.BHZ[3923310, 3925200]
GS.WXT.2008207000000.BHZ[4336760, 4339190]
GS.WXT.2008207000000.BHZ[6402600, 6406380]
GS.WXT.2008207000000.BHZ[6483925, 6487885]
GS.WXT.2008207000000.BHZ[6903770, 6906230]
