GS.WDT.2008215000000.BHN|[]
SN.LUYA.2008183000000.BHN|[[53625, 57875], [168810, 174085], [429030, 435255], [439100, 448550], [608440, 614590], [642850, 652625], [665250, 670150], [690795, 695570], [1160945, 1167320], [1226140, 1232165], [1334310, 1335885], [1355535, 1364035], [1393950, 1398400], [1420220, 1421820], [1516050, 1520500], [1642735, 1649910], [2033810, 2043910], [2120370, 2124970], [2235355, 2239255], [2449285, 2455810], [2474410, 2476885], [2669280, 2677430], [2934070, 2939120], [2959225, 2966575], [2975015, 2979565], [3339080, 3342755], [3354920, 3359095], [3581350, 3584925], [3814580, 3821155], [3880605, 3886355], [3898485, 3901710], [3924180, 3929455], [4157635, 4164560], [4725115, 4735915], [5208065, 5209040], [5914845, 5918995], [6076780, 6080455], [6125870, 6132170], [6162035, 6167435], [6501915, 6507115], [6531265, 6538540], [6580545, 6584895], [6650020, 6656820], [6767665, 6770790], [6958860, 6969610], [7107635, 7114835], [7152755, 7157305], [7191970, 7206045], [7396140, 7403290], [7496605, 7500780], [7557270, 7560470], [7787195, 7793045], [7987955, 7995530], [8309255, 8313205], [8325030, 8329630], [8505555, 8510930], [8552795, 8557195]]
GS.WDT.2008184000000.BHE|[[42325, 43725], [53780, 55705], [180000, 181075], [181125, 185050], [215000, 220050], [665615, 667490], [745255, 750480], [870740, 872990], [924710, 935185], [963520, 968695], [5795145, 5802445], [5808835, 5814935], [5929230, 5931455], [6655700, 6657500], [6724120, 6725245], [6896590, 6901940], [7303380, 7308680], [7469235, 7473185], [7663455, 7668130], [7774730, 7777255], [7929790, 7942865], [8004095, 8012470], [8188460, 8189885], [8445085, 8450435], [8637800, 8639975]]
SN.MIAX.2008183000000.BHE|[[54140, 58565], [169400, 176100], [429705, 435505], [439705, 451505], [608780, 615280], [643490, 653490], [665780, 669455], [691380, 695105], [1161520, 1167445], [1226700, 1233200], [1355035, 1370610], [1390835, 1400035], [1643290, 1650440], [2033440, 2043815], [2122160, 2126535], [2235790, 2240390], [2266650, 2267675], [2449870, 2456720], [2669810, 2679010], [2934725, 2940125], [2959810, 2967910], [2975280, 2980055], [3060840, 3062265], [3581105, 3586580], [3815105, 3822430], [3882520, 3886570], [3921635, 3930660], [4158340, 4164790], [4191385, 4198285], [4725705, 4735055], [4855590, 4856815], [6076555, 6080905], [6162605, 6168455], [6502545, 6508495], [6531705, 6538880], [6581020, 6586095], [6650505, 6658655], [6960345, 6970895], [7108140, 7115865], [7153740, 7158115], [7192380, 7206405], [7396730, 7404305], [7497340, 7501040], [7787700, 7793200], [7988015, 7996390], [8310705, 8313980], [8325465, 8331140], [8506210, 8512510], [8553665, 8558590], [8595760, 8599785]]
GS.WXT.2008183000000.BHN|[[52845, 57545], [64170, 65370], [69130, 71880], [75490, 77315], [80220, 81895], [106530, 109280], [114540, 117365], [154510, 155735], [158970, 160920], [165585, 172610], [174260, 178010], [187475, 189100], [191785, 193410], [210000, 215250], [215590, 217840], [225465, 227290], [237285, 239185], [241755, 242930], [245800, 251275], [251605, 254105], [261695, 263970], [312210, 313285], [328290, 329490], [331900, 333250], [333285, 336135], [337885, 339360], [344245, 345270], [347670, 348745], [425420, 426895], [428615, 434265], [437850, 446375], [607750, 613250], [614250, 615450], [642835, 650260], [654025, 655300], [664470, 669445], [690040, 694915], [721075, 723500], [765060, 766285], [916865, 918040], [960950, 962100], [1069310, 1071635], [1144565, 1145640], [1147575, 1148550], [1150360, 1151760], [1151795, 1152995], [1159315, 1165690], [1173295, 1174445], [1224915, 1232565], [1264160, 1265685], [1290855, 1292655], [1304405, 1305905], [1350875, 1353100], [1354080, 1362580], [1363320, 1366120], [1370075, 1372900], [1389495, 1395270], [1418375, 1420950], [1514810, 1518660], [1623470, 1626745], [1641280, 1647055], [1671045, 1673270], [1782115, 1783565], [1915695, 1919070], [2032250, 2041175], [2119075, 2123200], [2234090, 2238090], [2298740, 2302340], [2358320, 2359495], [2448210, 2453660], [2470800, 2474275], [2491605, 2493155], [2565795, 2567395], [2608250, 2611650], [2667660, 2675435], [2717390, 2718990], [2729240, 2730665], [2738035, 2740285], [2793070, 2794770], [2906850, 2907875], [2934015, 2938715], [2958190, 2964565], [2964615, 2965615], [2974555, 2978205], [2998740, 3001665], [3048230, 3049630], [3245425, 3247950], [3285755, 3286805], [3321070, 3322145], [3338725, 3341500], [3354050, 3357850], [3566135, 3568160], [3580650, 3584750], [3587505, 3590130], [3764665, 3765865], [3813650, 3820850], [3826720, 3830395], [3878805, 3884405], [3898265, 3901465], [3919830, 3926680], [3979965, 3981215], [3996515, 3998740], [4034650, 4037900], [4062730, 4064655], [4092980, 4094805], [4157370, 4163370], [4173165, 4174715], [4192780, 4195030], [4455340, 4456965], [4519695, 4521120], [4633845, 4636370], [4667255, 4668705], [4723845, 4725020], [5836955, 5840555], [5868515, 5870140], [5913300, 5917025], [5992680, 5995405], [6010435, 6012335], [6072735, 6076660], [6082020, 6083920], [6117965, 6120465], [6125190, 6128615], [6148780, 6151305], [6160765, 6166265], [6215375, 6218800], [6375315, 6378215], [6501385, 6506035], [6529560, 6536360], [6554815, 6556640], [6579365, 6586415], [6648220, 6654245], [6681250, 6682750], [6766985, 6769885], [6955720, 6965770], [7079485, 7081185], [7105850, 7112200], [7150895, 7155195], [7190610, 7203935], [7204645, 7205645], [7379280, 7380805], [7395045, 7401445], [7465850, 7467400], [7478500, 7481475], [7496290, 7499590], [7504685, 7506235], [7554580, 7559030], [7564505, 7565905], [7577340, 7579290], [7629300, 7630725], [7786320, 7791495], [7821905, 7823405], [7840125, 7842650], [7903830, 7905230], [7986250, 7993475], [7993510, 7994835], [8084160, 8085785], [8305615, 8311015], [8323320, 8328520], [8451860, 8453160], [8504870, 8510795], [8548590, 8553440]]
SN.LUYA.2008183000000.BHZ|[[53670, 57745], [429025, 434475], [439075, 446450], [608330, 612730], [642845, 651395], [690690, 695290], [1160940, 1165490], [1226105, 1231305], [1334330, 1335580], [1355570, 1363270], [1516050, 1520225], [1642735, 1648510], [2033780, 2042805], [2449355, 2454555], [2669275, 2676475], [2934050, 2939350], [2959215, 2966440], [2974885, 2978685], [3814555, 3821180], [3880580, 3885255], [3923845, 3928345], [4157625, 4163900], [4725115, 4734115], [6162075, 6166625], [6501970, 6506695], [6531250, 6536925], [6649995, 6655595], [6962550, 6968900], [7107590, 7113415], [7191955, 7205080], [7396155, 7402355], [7496585, 7500585], [7787175, 7791550], [7987685, 7995360], [8310055, 8312305], [8324935, 8329135], [8505570, 8511270]]
GS.WDT.2008184000000.BHN|[[53225, 55550], [180000, 185050], [215000, 216075], [216125, 220050], [665610, 667835], [745165, 750440], [870965, 872315], [924700, 934325], [963525, 968550], [5795770, 5800370], [5808830, 5814905], [5929495, 5931195], [6655750, 6657500], [6724230, 6725605], [6896550, 6902000], [7303380, 7308055], [7337110, 7338335], [7469245, 7473120], [7663235, 7667960], [7774835, 7777285], [7929760, 7940860], [8004070, 8012245], [8188630, 8189705], [8394890, 8397215], [8445070, 8450895], [8637950, 8639975]]
SN.MIAX.2008183000000.BHN|[[55480, 58655], [171555, 174955], [429760, 436485], [439725, 449200], [608820, 616395], [643500, 653300], [667095, 669820], [692630, 695255], [1163790, 1166865], [1226725, 1232150], [1355345, 1365695], [1394880, 1399705], [1643330, 1650355], [2033910, 2043810], [2122905, 2125830], [2449895, 2456245], [2669880, 2678030], [2934820, 2939370], [2959830, 2966780], [2975325, 2980200], [3060745, 3062720], [3815135, 3822635], [3883750, 3887100], [3924135, 3929085], [4158390, 4165065], [4191180, 4196780], [4199905, 4201180], [4725725, 4735125], [6077605, 6081030], [6163365, 6167465], [6502570, 6507395], [6531835, 6539585], [6650620, 6657345], [6960225, 6970750], [7108230, 7115255], [7192410, 7207585], [7396770, 7402995], [7498550, 7501300], [7787905, 7792905], [7990045, 7996745], [8310535, 8314335], [8327460, 8331385], [8506215, 8512115], [8553745, 8557095], [8597500, 8599375]]
GS.WXT.2008183000000.BHZ|[[52870, 57945], [68640, 71840], [71870, 73045], [79570, 81795], [106530, 108855], [114515, 118165], [165835, 173485], [174200, 178375], [210000, 215250], [232010, 233010], [245475, 251150], [261810, 264310], [392985, 393985], [428585, 434710], [437900, 445425], [445465, 447665], [607755, 613205], [642805, 651555], [664485, 669010], [690030, 695655], [720540, 722965], [916140, 918515], [960755, 962480], [1068440, 1071490], [1143915, 1145090], [1159215, 1165865], [1224685, 1233935], [1290580, 1292930], [1304140, 1305965], [1350015, 1353565], [1354025, 1365125], [1370100, 1372700], [1389420, 1396395], [1418360, 1421235], [1514860, 1519235], [1527660, 1528835], [1623465, 1627165], [1641280, 1649480], [1670580, 1673655], [1820035, 1821935], [1915425, 1917900], [1917945, 1919520], [2032250, 2041700], [2119065, 2122840], [2234095, 2238170], [2298745, 2303020], [2358175, 2360000], [2448210, 2454010], [2470555, 2473955], [2491155, 2493080], [2608255, 2611805], [2667680, 2675780], [2717115, 2718990], [2729110, 2730535], [2737940, 2740290], [2792695, 2794795], [2906790, 2908040], [2934100, 2939025], [2958190, 2965990], [2974550, 2978325], [2998675, 3001775], [3047845, 3049795], [3244990, 3248265], [3285900, 3287525], [3318950, 3320375], [3338580, 3342305], [3354055, 3357855], [3565965, 3568465], [3580650, 3583525], [3587415, 3590390], [3764350, 3766350], [3813670, 3820770], [3826695, 3830395], [3878825, 3884800], [3898245, 3901570], [3919845, 3927045], [3963140, 3965165], [3979805, 3981055], [3995925, 3999000], [4016385, 4017485], [4034675, 4038750], [4062695, 4065345], [4092955, 4094905], [4157345, 4162945], [4170930, 4174855], [4191360, 4194985], [4454870, 4457195], [4519350, 4521350], [4633785, 4636685], [4666580, 4668555], [4723845, 4725020], [5836980, 5840580], [5868125, 5870000], [5913270, 5917770], [5992415, 5995815], [6010555, 6012305], [6072600, 6077825], [6080880, 6084205], [6117800, 6120400], [6125195, 6129395], [6129595, 6133220], [6147975, 6151675], [6160765, 6165515], [6215385, 6219010], [6367260, 6369135], [6374935, 6378110], [6501370, 6506720], [6529545, 6536070], [6554300, 6556800], [6579365, 6583465], [6583705, 6586630], [6648235, 6655185], [6680975, 6683300], [6766975, 6770000], [6955690, 6967515], [7078855, 7081380], [7105850, 7112925], [7150870, 7156120], [7190610, 7203935], [7253500, 7254475], [7379205, 7381380], [7395045, 7401895], [7465095, 7467195], [7478485, 7481410], [7496270, 7500070], [7504410, 7506235], [7554560, 7558960], [7563810, 7565560], [7577240, 7580065], [7629350, 7630725], [7786310, 7791060], [7840125, 7842775], [7903795, 7905645], [7986205, 7995505], [8083625, 8085600], [8305615, 8311215], [8323300, 8327600], [8449180, 8450155], [8452590, 8453690], [8504845, 8510720], [8547720, 8554270]]
SN.LUYA.2008184000000.BHE|[[745805, 752855], [925355, 936705], [964180, 971055], [1258270, 1262795], [1301490, 1306665], [1615065, 1619190], [1633335, 1637885], [1668685, 1673585], [1805230, 1806755], [2157435, 2163585], [2174245, 2178470], [2560850, 2565725], [2720170, 2723370], [2844390, 2848840], [2991195, 2998895], [3067255, 3077255], [3131705, 3141055], [3258745, 3265745], [3302480, 3308030], [3338855, 3346080], [3645595, 3649470], [3809645, 3813770], [3867820, 3873395], [3961335, 3964735], [4219560, 4223535], [4358765, 4362490], [4682595, 4690795], [4911625, 4916700], [5076065, 5086540], [5794385, 5803485], [5809205, 5816380], [6415630, 6419230], [6585245, 6588595], [6655190, 6659190], [6725070, 6727845], [6897120, 6904195], [6944300, 6947925], [7304130, 7310305], [7469765, 7474690], [7663850, 7672175], [7775535, 7779985], [7930285, 7943885], [8004605, 8014780], [8049225, 8051750], [8188095, 8191045], [8237905, 8241130], [8273620, 8276995], [8395165, 8399815], [8399850, 8401025], [8401075, 8404825], [8430000, 8431000], [8431050, 8434825], [8445780, 8453130], [8637795, 8639995]]
GS.WDT.2008184000000.BHZ|[[52570, 55870], [180000, 181050], [181080, 184980], [215000, 216050], [216100, 219975], [664625, 667400], [745110, 749860], [5793760, 5800760], [5808820, 5814720], [6724020, 6725370], [6896540, 6901440], [7303290, 7308065], [7468965, 7472915], [7662530, 7665955], [7929750, 7940900], [8004075, 8013025], [8445065, 8450040]]
SN.MIAX.2008183000000.BHZ|[[429730, 434805], [439695, 447520], [608815, 614290], [643500, 650975], [1226715, 1231690], [1356020, 1364270], [1394905, 1398380], [1643335, 1648185], [2033925, 2042875], [2449890, 2454565], [2669850, 2676825], [2934775, 2938850], [2959825, 2966325], [3815135, 3821410], [3924900, 3929075], [4158365, 4163915], [4192130, 4193455], [4725705, 4735005], [6078170, 6080170], [6502545, 6507370], [6531775, 6538150], [6650570, 6656770], [6963855, 6969355], [7108165, 7114040], [7192400, 7206900], [7396735, 7401760], [7787715, 7792115], [7991015, 7995215], [8506205, 8510080]]
